Game,White Player,whiteElo,Black Player,blackElo,Moves,ECO,Site,Year,Result,HansWhite,HansResult,HansElo,oppElo,EloDiff,expPoints,residual
90,"Niemann, Hans Moke",2645,"Salimova, Nurgyul",2353,49,D11,Italy,2022,1,1,1,2645,2353,292,0.84,0.16
91,"Ioannidis, Evgenios",2466,"Niemann, Hans Moke",2645,34,D45,Italy,2022,1,0,0,2645,2466,179,0.73,-0.73
92,"Niemann, Hans Moke",2645,"Formento, Paolo",2382,33,C75,Italy,2022,1,1,1,2645,2382,263,0.81,0.19
93,"Pulkkinen, Kari",2251,"Niemann, Hans Moke",2645,38,B69,Italy,2022,0,0,1,2645,2251,394,0.91,0.09
94,"Santos Latasa, J.",2639,"Niemann, Hans Moke",2645,37,B67,Warsaw POL,2021,0,0,1,2645,2639,6,0.5,0.5
95,"Niemann, Hans Moke",2645,"Harsha, B.",2489,107,A45,Warsaw POL,2021,0.5,1,0.5,2645,2489,156,0.7,-0.2
96,"Gareev, T.",2573,"Niemann, Hans Moke",2645,58,E34,Warsaw POL,2021,0,0,1,2645,2573,72,0.59,0.41
97,"Erigaisi, Arjun",2629,"Niemann, Hans Moke",2645,26,B62,Warsaw POL,2021,1,0,0,2645,2629,16,0.51,-0.51
98,"Niemann, Hans Moke",2680,"Muradli, Mahammad",2571,53,A45,Warsaw,2021,0,1,0,2680,2571,109,0.64,-0.64
99,"Santos Latasa, J.",2639,"Niemann, Hans Moke",2645,73,C50,Warsaw POL,2021,0,0,1,2645,2639,6,0.5,0.5
100,"Niemann, Hans Moke",2645,"Sarana, A.",2666,56,B50,Warsaw POL,2021,1,1,1,2645,2666,-21,0.47,0.53
101,"Niemann, Hans Moke",2645,"Pranesh, M.",2437,60,D30,Sitges ESP,2021,1,1,1,2645,2437,208,0.76,0.24
102,"Kacharava, Nikolozi",2469,"Niemann, Hans Moke",2645,29,B62,Sitges ESP,2021,1,0,0,2645,2469,176,0.72,-0.72
103,"Niemann, Hans Moke",2645,"Kurmann, O.",2466,48,E06,Sitges ESP,2021,1,1,1,2645,2466,179,0.73,0.27
104,"Niemann, Hans Moke",2645,Pranesh M,2437,60,A15,Sitges,2021,1,1,1,2645,2437,208,0.76,0.24
105,"Kacharava, Nikolozi",2469,"Niemann, Hans Moke",2645,29,B62,Sitges,2021,1,0,0,2645,2469,176,0.72,-0.72
106,"Niemann, Hans Moke",2645,"Puranik, Abhimanyu",2604,38,D70,Sitges,2021,0,1,0,2645,2604,41,0.55,-0.55
107,"Safarli, E.",2579,"Niemann, Hans Moke",2645,50,C88,Sitges ESP,2021,0.5,0,0.5,2645,2579,66,0.58,-0.08
108,"Safarli, Eltaj",2579,"Niemann, Hans Moke",2645,47,C88,Sitges,2021,0.5,0,0.5,2645,2579,66,0.58,-0.08
109,"Sankalp, Gupta",2504,"Niemann, Hans Moke",2645,75,B62,Sitges ESP,2021,0,0,1,2645,2504,141,0.68,0.32
110,Sankalp Gupta,2504,"Niemann, Hans Moke",2645,75,B62,Sitges,2021,0,0,1,2645,2504,141,0.68,0.32
111,"Niemann, Hans Moke",2645,"Van Foreest, Lucas",2530,47,A13,Sitges,2021,0.5,1,0.5,2645,2530,115,0.65,-0.15
112,"Ayats Llobera, Gerard",2448,"Niemann, Hans Moke",2645,60,C72,Sitges,2021,0,0,1,2645,2448,197,0.75,0.25
113,"Niemann, Hans Moke",2645,"Meister, Peter",2359,25,B06,Sitges,2021,1,1,1,2645,2359,286,0.83,0.17
114,"Jumabayev, R.",2631,"Niemann, Hans Moke",2645,38,A50,Dubai UAE,2021,1,0,0,2645,2631,14,0.51,-0.51
115,"Sjugirov, Sanan",2663,"Niemann, Hans Moke",2635,29,D43,Tashkent,2021,0.5,0,0.5,2635,2663,-28,0.46,0.04
116,"Muradli, Mahammad",2501,"Niemann, Hans Moke",2635,79,D30,Tashkent UZB,2021,0,0,1,2635,2501,134,0.67,0.33
117,"Muradli, Mahammad",2501,"Niemann, Hans Moke",2635,74,D43,Tashkent,2021,0,0,1,2635,2501,134,0.67,0.33
118,"Niemann, Hans Moke",2635,"Dzhumaev, M.",2445,28,B07,Tashkent UZB,2021,1,1,1,2635,2445,190,0.74,0.26
